 Type,BHK,Area,LocalityScore,Sqft,Age,SwimmingPool,Lift,JoggingTrack,IndoorGames,Gym,ClubHouse,ChildrenPlayArea,CarParking,ATM,Sports,MultipurposeRoom,Furniture,Price
Apartment,3,Chandkheda,9.9,1200,2,1,1,0,1,1,1,1,0,0,1,0,Unfurnished,7700000
Apartment,2,Chandkheda,9.9,1170,1,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,4050000
Apartment,3,Chandkheda,9.9,2052,4,0,1,0,0,0,0,0,0,0,0,0,Furnished,8500000
Apartment,3,Chandkheda,9.9,2115,4,1,1,0,0,1,0,1,1,0,0,0,Unfurnished,7000000
Apartment,3,Chandkheda,9.9,1935,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,7500000
Apartment,2,Chandkheda,9.9,1035,1,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,3250000
Apartment,3,Chandkheda,9.9,2125,5,0,1,1,0,1,0,1,1,1,0,0,Furnished,5000000
Independent House,3,Chandkheda,9.9,1745,-1,1,0,0,0,1,1,1,0,0,1,0,Semi-Furnished,8500000
Apartment,1,Chandkheda,9.9,631,7,0,0,0,0,0,0,0,0,0,0,0,Semi-Furnished,2380000
Apartment,2,Chandkheda,9.9,2200,-1,1,1,1,0,1,1,1,0,0,1,0,Semi-Furnished,7600000
Apartment,1,Chandkheda,9.9,990,1,0,1,1,0,1,1,1,1,0,1,0,Unfurnished,3500000
Apartment,2,Chandkheda,9.9,1125,4,0,1,0,0,1,1,1,0,0,0,0,Unfurnished,3500000
Apartment,4,Chandkheda,9.9,2550,5,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,20000000
Apartment,3,Chandkheda,9.9,1935,2,1,1,0,0,0,1,1,1,0,1,0,Unfurnished,6772000
Apartment,3,Chandkheda,9.9,1575,8,0,1,0,0,0,1,1,1,0,0,0,Unfurnished,5200000
Apartment,1,Chandkheda,9.9,1000,1,0,1,1,0,1,0,1,1,0,0,0,Semi-Furnished,5200000
Apartment,2,Chandkheda,9.9,1188,5,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,3200000
Independent House,3,Chandkheda,9.9,900,6,0,0,0,0,0,0,0,1,0,0,0,Semi-Furnished,6500000
Apartment,3,Chandkheda,9.9,1935,4,1,1,1,1,1,0,1,1,0,0,1,Semi-Furnished,7800000
Apartment,2,Chandkheda,9.9,1998,4,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,6593400
Apartment,3,Chandkheda,9.9,3000,0,0,0,0,0,1,0,0,0,0,0,0,Unfurnished,8000000
Apartment,2,Chandkheda,9.9,1260,4,0,1,1,1,1,1,1,1,1,1,1,Semi-Furnished,3800000
Apartment,2,Chandkheda,9.9,1125,4,0,1,1,0,0,0,0,1,1,0,0,Unfurnished,3500000
Apartment,1,Chandkheda,9.9,1100,-1,1,1,0,0,1,1,1,0,0,1,0,Unfurnished,4200000
Apartment,2,Chandkheda,9.9,1152,2,0,1,1,0,0,1,1,1,0,0,0,Unfurnished,3500000
Apartment,2,Chandkheda,9.9,1197,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,3192399
Apartment,2,Chandkheda,9.9,1980,-1,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,8000000
Apartment,3,Chandkheda,9.9,1998,4,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,7000000
Apartment,2,Chandkheda,9.9,1935,4,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,6385500
Apartment,2,Chandkheda,9.9,1746,1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,5600000
Apartment,2,Chandkheda,9.9,1764,1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,6000000
Apartment,2,Chandkheda,9.9,1719,1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,5400000
Apartment,3,Chandkheda,9.9,2790,1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,12500000
Apartment,2,Chandkheda,9.9,1764,0,0,1,1,0,1,1,1,1,0,0,0,Unfurnished,5880000
Apartment,2,Chandkheda,9.9,1620,0,0,1,1,0,1,1,1,1,0,0,0,Unfurnished,5382000
Apartment,2,Chandkheda,9.9,1764,0,0,1,1,0,1,1,1,1,0,0,0,Unfurnished,5860400
Apartment,2,Chandkheda,9.9,1935,4,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,6800000
Apartment,2,Chandkheda,9.9,1935,4,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,6700000
Apartment,2,Chandkheda,9.9,1998,4,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,6993000
Villa,3,Chandkheda,9.9,1375,-1,0,0,0,0,0,0,1,0,0,0,0,Unfurnished,22100000
Apartment,1,Chandkheda,9.9,1125,-1,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,3500000
Villa,2,Chandkheda,9.9,2700,-1,0,0,0,0,0,0,1,0,0,1,0,Furnished,20000000
Villa,3,Chandkheda,9.9,2475,-1,0,0,0,0,0,0,1,0,0,0,0,Unfurnished,17500000
Apartment,2,Chandkheda,9.9,2025,-1,0,1,0,0,1,0,0,0,0,0,0,Unfurnished,7357500
Apartment,2,Chandkheda,9.9,1800,-1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,6540000
Apartment,2,Chandkheda,9.9,2025,-1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,7425000
Apartment,2,Chandkheda,9.9,1890,-1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,7000000
Apartment,2,Chandkheda,9.9,1998,0,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,7000000
Villa,2,Chandkheda,9.9,2070,-1,0,0,0,0,0,0,1,0,0,0,0,Unfurnished,12000000
Apartment,1,Chandkheda,9.9,1035,-1,0,1,0,0,0,0,1,1,0,1,1,Unfurnished,3800000
Apartment,1,Chandkheda,9.9,1125,1,0,1,1,0,0,0,1,1,0,0,0,Unfurnished,3000000
Apartment,1,Chandkheda,9.9,1170,-1,0,1,0,0,1,0,0,0,0,0,0,Furnished,4000000
Villa,4,Chandkheda,9.9,4500,9,1,0,1,0,1,1,1,0,0,1,1,Furnished,30000000
Apartment,1,Chandkheda,9.9,1125,-1,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,3490000
Apartment,1,Chandkheda,9.9,1000,1,0,1,1,0,1,0,1,1,0,0,0,Unfurnished,5700000
Apartment,2,Chandkheda,9.9,1245,8,0,1,0,0,0,1,1,1,0,0,0,Unfurnished,3600000
Apartment,3,Chandkheda,9.9,1575,8,0,1,0,0,0,1,1,1,0,0,0,Semi-Furnished,5000000
Apartment,2,Chandkheda,9.9,1035,1,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,3200000
Apartment,2,Chandkheda,9.9,1242,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,3211812
Apartment,2,Chandkheda,9.9,1188,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,3137508
Apartment,2,Chandkheda,9.9,1071,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,2856357
Apartment,3,Chandkheda,9.9,1593,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4250124
Apartment,3,Chandkheda,9.9,1566,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4176522
Apartment,2,Chandkheda,9.9,1262,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4550000
Apartment,4,Chandkheda,9.9,2253,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,9200000
Apartment,2,Chandkheda,9.9,1035,-1,0,1,1,0,0,1,1,1,0,0,0,Semi-Furnished,3500000
Apartment,3,Chandkheda,9.9,1494,7,0,1,1,1,1,0,1,1,0,1,1,Unfurnished,4300000
Apartment,3,Chandkheda,9.9,1107,12,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,4200000
Apartment,2,Chandkheda,9.9,1089,3,0,1,0,1,1,1,1,1,0,0,0,Unfurnished,3200000
Apartment,1,Chandkheda,9.9,1440,0,1,1,0,0,1,1,1,0,0,1,0,Unfurnished,4400000
Apartment,1,Chandkheda,9.9,1188,0,1,1,0,0,1,0,0,0,0,0,0,Unfurnished,3600000
Apartment,3,Chandkheda,9.9,1980,1,1,1,0,0,1,1,1,0,0,1,0,Unfurnished,7040000
Apartment,3,Chandkheda,9.9,3900,4,0,1,1,1,1,1,1,1,0,1,0,Furnished,12000000
Apartment,3,Chandkheda,9.9,1521,3,0,1,1,1,1,1,1,1,1,1,1,Semi-Furnished,5800000
Apartment,2,Chandkheda,9.9,1296,1,0,1,0,0,1,0,1,1,0,0,0,Unfurnished,4400000
Apartment,2,Chandkheda,9.9,1000,5,0,1,0,0,1,0,1,1,0,0,0,Unfurnished,3000000
Apartment,3,Chandkheda,9.9,1665,6,1,1,1,0,1,1,1,0,0,1,1,Semi-Furnished,5300000
Apartment,1,Chandkheda,9.9,774,5,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,2550000
Apartment,2,Chandkheda,9.9,1000,1,0,1,1,0,1,1,1,1,1,0,1,Unfurnished,3500000
Apartment,3,Chandkheda,9.9,1755,6,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,6500000
Apartment,2,Chandkheda,9.9,1008,1,0,1,0,0,1,0,0,1,0,0,0,Unfurnished,3300000
Apartment,4,Chandkheda,9.9,2720,1,1,0,1,1,1,0,1,1,0,0,1,Unfurnished,9000000
Apartment,2,Chandkheda,9.9,1009,6,0,1,0,0,0,0,1,1,0,0,0,Unfurnished,4000000
Apartment,3,Chandkheda,9.9,1886,3,0,1,1,1,1,1,1,1,0,0,0,Unfurnished,12500000
Apartment,2,Chandkheda,9.9,1000,3,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,3900000
Apartment,2,Chandkheda,9.9,1300,6,0,1,0,0,1,1,1,1,0,0,0,Semi-Furnished,4300000
Apartment,3,Chandkheda,9.9,1566,1,0,1,1,1,1,1,1,1,1,0,0,Unfurnished,5700000
Apartment,3,Chandkheda,9.9,1500,0,0,1,1,1,1,0,1,0,0,0,0,Unfurnished,4900000
Villa,4,Chandkheda,9.9,2889,8,0,0,0,0,1,0,0,1,0,0,0,Unfurnished,18000000
Apartment,2,Chandkheda,9.9,798,2,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,4500000
Apartment,1,Chandkheda,9.9,336,2,0,1,0,0,0,0,1,1,0,0,0,Unfurnished,2400000
Independent House,4,Chandkheda,9.9,2205,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,12500000
Apartment,3,Chandkheda,9.9,2115,9,1,0,1,1,1,1,1,0,0,0,0,Unfurnished,8000000
Apartment,3,Chandkheda,9.9,1449,6,0,1,1,0,1,0,1,1,0,0,0,Unfurnished,3800000
