 Type,BHK,Area,LocalityScore,Sqft,Age,SwimmingPool,Lift,JoggingTrack,IndoorGames,Gym,ClubHouse,ChildrenPlayArea,CarParking,ATM,Sports,MultipurposeRoom,Furniture,Price
Apartment,3,Bodakdev,9.3,1350,19,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,8000000
Apartment,3,Bodakdev,9.3,1800,14,0,1,0,1,0,1,1,1,0,0,0,Furnished,12500000
Apartment,3,Bodakdev,9.3,1400,21,0,1,1,0,0,1,1,1,0,0,0,Furnished,8300000
Apartment,2,Bodakdev,9.3,900,21,0,0,0,0,0,0,0,1,0,0,0,Semi-Furnished,5700000
Apartment,2,Bodakdev,9.3,1400,16,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,6600000
Apartment,3,Bodakdev,9.3,1800,-1,0,1,0,0,0,0,0,0,0,0,0,Semi-Furnished,9000000
Apartment,3,Bodakdev,9.3,1360,21,0,1,1,1,0,0,0,0,0,1,0,Semi-Furnished,6800000
Apartment,2,Bodakdev,9.3,1800,-1,0,0,0,0,0,0,0,0,0,0,0,Semi-Furnished,9000000
Apartment,2,Bodakdev,9.3,1400,16,0,1,0,0,0,0,1,1,0,0,0,Semi-Furnished,5800000
Apartment,2,Bodakdev,9.3,900,1,0,0,0,0,0,0,0,1,0,0,0,Furnished,5900000
Apartment,4,Bodakdev,9.3,2700,-1,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,19500000
Apartment,2,Bodakdev,9.3,900,1,0,1,0,0,0,0,0,1,0,0,0,Furnished,6300000
Apartment,2,Bodakdev,9.3,900,16,0,1,0,0,0,0,0,1,0,0,0,Furnished,7500000
Apartment,5,Bodakdev,9.3,6935,2,1,1,1,1,1,1,1,1,0,1,1,Semi-Furnished,62400000
Apartment,4,Bodakdev,9.3,7000,15,0,1,0,0,0,0,1,1,0,0,0,Furnished,16500000
Apartment,3,Bodakdev,9.3,2000,7,0,1,0,0,0,0,1,1,0,1,1,Furnished,12500000
Apartment,3,Bodakdev,9.3,2000,4,0,1,1,0,1,1,1,1,0,1,0,Unfurnished,10000000
Apartment,4,Bodakdev,9.3,2430,11,0,1,0,0,0,0,1,1,0,1,0,Furnished,15100000
Apartment,4,Bodakdev,9.3,5176,1,0,1,0,0,1,1,1,0,0,1,0,Unfurnished,46584000
Apartment,3,Bodakdev,9.3,1640,11,0,1,0,0,0,0,1,0,0,1,0,Semi-Furnished,6600000
Apartment,3,Bodakdev,9.3,2200,10,0,1,0,0,0,1,1,0,0,0,0,Unfurnished,12000000
Apartment,2,Bodakdev,9.3,2000,-1,1,1,0,0,0,1,0,1,0,0,1,Furnished,5920000
Apartment,3,Bodakdev,9.3,1500,12,0,1,0,0,0,1,0,0,0,0,0,Unfurnished,8000000
Apartment,3,Bodakdev,9.3,990,12,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,5500000
Apartment,4,Bodakdev,9.3,3150,7,0,1,0,0,1,0,1,1,0,0,0,Semi-Furnished,25800000
Villa,4,Bodakdev,9.3,1575,-1,1,1,0,0,1,1,0,1,0,0,1,Semi-Furnished,22000000
Apartment,4,Bodakdev,9.3,3150,11,0,1,0,0,0,1,1,0,0,1,0,Unfurnished,19000000
Villa,4,Bodakdev,9.3,2250,-1,0,1,0,0,0,1,0,1,0,0,1,Semi-Furnished,22000000
Villa,4,Bodakdev,9.3,2500,-1,0,1,0,0,0,1,0,1,0,0,0,Semi-Furnished,15000000
Apartment,2,Bodakdev,9.3,1100,18,0,1,0,0,0,0,0,0,0,1,0,Unfurnished,4100000
Villa,4,Bodakdev,9.3,3150,-1,0,0,0,0,0,0,0,1,1,0,0,Semi-Furnished,22500000
Apartment,3,Bodakdev,9.3,2313,13,0,1,0,0,0,0,0,1,0,0,0,Furnished,15000000
Apartment,4,Bodakdev,9.3,2475,-1,0,1,0,0,0,1,0,1,0,0,0,Unfurnished,14500000
Apartment,3,Bodakdev,9.3,1485,-1,1,1,0,0,1,1,0,1,0,0,1,Unfurnished,6500000
Apartment,2,Bodakdev,9.3,1152,-1,0,1,0,0,0,1,0,1,0,0,1,Semi-Furnished,5500000
Apartment,3,Bopal,8.7,1430,0,1,1,0,1,1,1,1,1,0,1,0,Unfurnished,4290000
Apartment,2,Bopal,8.7,1185,0,1,0,1,1,1,1,1,0,0,0,0,Unfurnished,3555000
Apartment,3,Bopal,8.7,764,0,0,0,0,1,1,1,1,1,0,0,0,Unfurnished,6199999
Villa,2,Bopal,8.7,1845,0,1,0,0,0,0,0,1,0,0,0,0,Furnished,11000000
Independent House,3,Bopal,8.7,1350,3,0,0,0,0,0,1,1,0,0,0,0,Semi-Furnished,8700000
Apartment,1,Bopal,8.7,1215,1,0,1,1,1,1,1,1,1,0,1,0,Unfurnished,4600000
Apartment,2,Bopal,8.7,1436,2,0,1,0,0,1,1,1,0,0,1,0,Unfurnished,6500000
Apartment,2,Bopal,8.7,1440,2,1,1,0,0,1,1,1,0,0,1,0,Unfurnished,7500000
Apartment,2,Bopal,8.7,1170,6,1,1,1,0,1,1,1,1,0,1,0,Unfurnished,4000000
Apartment,3,Bopal,8.7,1436,2,0,1,0,0,1,1,1,0,0,0,0,Unfurnished,5744000
Villa,4,Bopal,8.7,5146,0,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,31600000
Apartment,2,Bopal,8.7,1130,1,0,1,0,0,1,1,0,0,0,1,0,Unfurnished,3600000
Apartment,1,Bopal,8.7,1170,-1,1,1,1,0,1,1,1,1,0,1,0,Semi-Furnished,5000000
Villa,4,Bopal,8.7,3645,5,1,0,0,0,1,1,1,0,0,1,0,Unfurnished,33000000
Apartment,3,Bopal,8.7,1435,2,1,1,0,0,1,1,1,1,0,1,1,Unfurnished,5500000
Apartment,1,Bopal,8.7,1230,5,1,1,1,1,1,1,1,1,0,1,0,Semi-Furnished,5500000
Villa,5,Bopal,8.7,3600,9,1,0,0,0,1,1,1,0,0,0,0,Furnished,35500000
Apartment,2,Bopal,8.7,1185,0,1,1,0,1,1,1,1,1,0,1,0,Unfurnished,3970000
Apartment,2,Bopal,8.7,1185,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,3970000
Apartment,2,Bopal,8.7,1100,0,0,1,1,1,1,1,1,1,0,1,1,Unfurnished,5546000
Independent House,5,Bopal,8.7,5500,-1,1,1,0,0,0,1,1,0,0,1,0,Unfurnished,31100000
Apartment,3,Bopal,8.7,1530,1,0,1,0,0,1,1,1,1,0,1,1,Unfurnished,6800000
Apartment,3,Bopal,8.7,1576,7,1,1,1,0,1,1,1,1,1,0,0,Unfurnished,4700000
Apartment,2,Bopal,8.7,1503,2,0,1,0,1,1,0,1,1,0,0,0,Unfurnished,7000000
Apartment,2,Bopal,8.7,1180,1,0,1,1,1,1,1,1,1,0,0,1,Semi-Furnished,5500000
Apartment,2,Bopal,8.7,1000,-1,0,1,0,0,0,0,1,0,0,0,0,Furnished,4200000
Apartment,3,Bopal,8.7,3800,7,1,1,1,1,1,1,1,1,0,0,0,Furnished,14000000
Villa,3,Bopal,8.7,1500,-1,0,0,0,0,0,0,1,0,0,0,0,Semi-Furnished,8000000
Apartment,1,Bopal,8.7,1185,0,0,1,1,1,1,1,1,1,0,0,1,Unfurnished,4600000
Apartment,2,Bopal,8.7,1465,0,0,1,0,0,1,1,1,0,0,1,0,Unfurnished,4688000
Apartment,2,Bopal,8.7,1376,1,1,1,0,1,1,1,1,0,0,1,0,Furnished,7500000
Apartment,2,Bopal,8.7,1490,5,1,1,1,1,1,1,1,1,0,1,0,Semi-Furnished,6600000
Apartment,1,Bopal,8.7,1185,0,1,1,0,1,1,1,1,1,0,1,0,Unfurnished,4100000
Apartment,4,Bopal,8.7,5470,-1,1,1,1,0,1,1,1,1,0,1,1,Unfurnished,22974000
Apartment,1,Bopal,8.7,1400,-1,0,0,0,0,0,0,0,0,0,0,0,Furnished,6500000
Apartment,3,Bopal,8.7,1430,0,0,1,0,1,1,1,1,1,0,0,0,Unfurnished,4290000
Apartment,2,Bopal,8.7,614,0,0,0,0,1,1,1,1,1,0,0,0,Unfurnished,4799999
Apartment,3,Bopal,8.7,1435,0,1,0,1,1,1,1,1,0,0,0,0,Unfurnished,4305000
Villa,3,Bopal,8.7,2115,-1,0,0,0,0,0,0,1,0,0,0,0,Furnished,17500000
Apartment,1,Bopal,8.7,1100,3,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,4150000
Apartment,2,Bopal,8.7,1230,0,0,1,1,0,1,1,1,1,0,0,0,Unfurnished,4500000
Apartment,3,Bopal,8.7,1450,2,1,1,0,0,1,1,1,0,0,1,0,Semi-Furnished,6000000
Villa,5,Bopal,8.7,2342,0,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,21700000
Apartment,2,Bopal,8.7,1200,0,0,1,0,1,1,1,1,0,0,1,1,Unfurnished,3840000
Apartment,3,Bopal,8.7,1400,1,1,1,0,0,1,1,1,1,0,1,0,Unfurnished,6100000
Apartment,2,Bopal,8.7,1480,0,1,1,1,0,1,1,1,1,0,1,0,Unfurnished,6400000
Apartment,2,Bopal,8.7,1130,0,0,1,0,0,1,1,1,0,0,0,0,Unfurnished,3616000
Apartment,1,Bopal,8.7,1143,-1,0,1,0,0,1,0,1,0,0,0,0,Unfurnished,3600000
Apartment,2,Bopal,8.7,1800,7,0,1,1,0,1,1,1,1,0,1,0,Semi-Furnished,7500000
Apartment,3,Bopal,8.7,1700,-1,0,0,0,0,0,0,0,0,0,0,0,Furnished,5500000
Apartment,2,Bopal,8.7,1376,1,1,1,0,1,1,1,1,0,0,0,1,Unfurnished,5800000
Apartment,3,Bopal,8.7,2350,7,0,1,1,1,1,1,1,1,0,0,0,Unfurnished,11500000
Apartment,2,Bopal,8.7,1430,0,1,1,0,1,1,1,1,1,0,1,0,Unfurnished,4075500
Apartment,1,Bopal,8.7,1195,0,0,1,0,0,1,1,0,0,0,1,0,Unfurnished,3824000
Apartment,3,Bopal,8.7,1470,0,0,1,0,1,1,1,1,1,0,1,0,Unfurnished,4924500
Apartment,3,Bopal,8.7,1550,0,0,1,0,1,1,0,1,0,0,0,0,Unfurnished,5700000
Apartment,1,Bopal,8.7,1385,-1,1,1,0,1,1,1,1,1,0,1,0,Unfurnished,6000000
Apartment,3,Bopal,8.7,2232,9,0,1,0,0,1,1,1,0,0,1,0,Unfurnished,6800000
Apartment,2,Bopal,8.7,1400,1,1,1,0,0,1,1,1,1,0,1,0,Semi-Furnished,6700000
Apartment,3,Bopal,8.7,838,0,0,1,1,0,0,0,1,1,0,1,0,Unfurnished,4000000
Apartment,2,Bopal,8.7,1430,-1,1,1,0,1,1,1,1,1,0,1,0,Unfurnished,4290000
Apartment,2,Bopal,8.7,1200,0,0,1,0,1,1,1,1,1,0,0,1,Unfurnished,3500000
Apartment,2,Bopal,8.7,1175,1,0,1,0,1,1,1,1,1,0,1,1,Unfurnished,4600000
Apartment,2,Bopal,8.7,1110,1,1,1,1,1,1,1,1,1,1,1,0,Semi-Furnished,4900000
Apartment,2,Bopal,8.7,1118,2,1,1,0,1,1,1,1,1,0,0,1,Semi-Furnished,4900000
Apartment,2,Bopal,8.7,2285,-1,1,1,1,0,1,1,1,1,0,0,1,Furnished,22000000
Apartment,2,Bopal,8.7,1107,3,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,4400000
Apartment,3,Bopal,8.7,1400,1,1,1,0,0,1,1,1,1,0,1,0,Unfurnished,5800000
Villa,2,Bopal,8.7,2160,-1,0,0,0,0,0,0,1,0,0,0,0,Semi-Furnished,14000000
Apartment,4,Bopal,8.7,2754,2,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,11200000
Apartment,3,Bopal,8.7,1450,0,0,1,1,1,1,1,1,1,1,1,0,Unfurnished,4640000
Apartment,2,Bopal,8.7,2350,7,0,1,1,1,1,1,1,1,0,1,0,Unfurnished,10500000
Villa,3,Bopal,8.7,1908,15,1,1,0,0,1,1,1,0,0,1,0,Unfurnished,9000000
Apartment,1,Bopal,8.7,1500,0,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,5925000
Apartment,1,Bopal,8.7,720,0,0,1,0,1,1,1,1,0,0,1,1,Unfurnished,3900000
Apartment,2,Bopal,8.7,1152,1,0,1,1,1,0,1,1,1,0,1,0,Unfurnished,5800000
Apartment,3,Bopal,8.7,1435,0,0,1,1,0,1,1,1,1,1,1,0,Unfurnished,4592000
Apartment,1,Bopal,8.7,1215,1,0,1,1,1,0,1,1,1,0,1,0,Unfurnished,4500000
Apartment,3,Bopal,8.7,1430,5,1,1,1,1,1,1,1,1,0,1,0,Unfurnished,6000000
Apartment,2,Bopal,8.7,1260,9,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,5000000
Apartment,3,Bopal,8.7,1985,0,1,1,0,1,1,1,1,1,0,0,1,Unfurnished,6352000
Apartment,2,Bopal,8.7,1330,2,1,1,1,1,1,1,1,1,0,1,0,Unfurnished,6000000
Independent House,3,Bopal,8.7,2025,11,0,0,0,0,0,0,1,0,0,0,0,Furnished,9000000
Apartment,1,Bopal,8.7,1130,0,0,1,0,0,1,1,0,0,0,0,0,Unfurnished,3616000
Apartment,1,Bopal,8.7,1251,0,1,1,1,0,1,1,1,1,0,1,0,Unfurnished,5100000
Apartment,2,Bopal,8.7,1230,5,1,1,1,1,1,1,1,1,0,1,0,Unfurnished,4950000
Apartment,3,Bopal,8.7,1440,0,0,1,1,1,1,1,1,1,1,1,0,Unfurnished,4320000
Villa,3,Bopal,8.7,3150,10,0,0,0,0,0,0,0,0,0,0,0,Semi-Furnished,22500000
Apartment,2,Bopal,8.7,1175,0,0,1,0,0,0,1,0,1,0,0,0,Unfurnished,4000000
Apartment,2,Bopal,8.7,1215,11,0,1,1,0,0,0,1,1,0,0,0,Unfurnished,4500000
Apartment,3,Bopal,8.7,1700,3,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,7500000
Apartment,3,Bopal,8.7,1629,7,0,1,1,0,1,0,1,1,0,0,0,Unfurnished,8500000
Apartment,2,Bopal,8.7,1170,1,0,0,0,0,0,0,0,0,0,0,0,Furnished,4500000
Apartment,2,Bopal,8.7,1175,2,0,1,0,0,0,0,1,1,0,0,1,Unfurnished,4600000
Apartment,3,Bopal,8.7,1440,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4800000
Villa,3,Bopal,8.7,1800,17,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,11000000
Apartment,2,Bopal,8.7,1185,0,0,1,0,0,1,1,1,0,0,0,0,Unfurnished,4740000
Apartment,2,Bopal,8.7,1470,-1,1,1,1,0,1,1,0,1,0,0,0,Unfurnished,6800000
Independent House,2,Bopal,8.7,2070,-1,1,0,0,0,0,0,1,0,0,0,0,Furnished,16000000
Independent House,3,Bopal,8.7,1980,-1,0,0,0,0,0,0,1,0,0,0,0,Furnished,11000000
Apartment,3,Bopal,8.7,1825,0,1,1,0,0,1,1,1,0,0,1,0,Unfurnished,8190000
Apartment,3,Bopal,8.7,1725,0,1,1,0,1,1,1,1,1,0,1,1,Unfurnished,5520000
Apartment,2,Bopal,8.7,1377,9,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,5000000
Apartment,2,Bopal,8.7,1260,7,1,1,1,0,1,1,1,1,1,1,1,Unfurnished,4900000
Apartment,3,Bopal,8.7,1485,5,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,6500000
Apartment,2,Bopal,8.7,1250,5,1,1,1,1,1,1,1,1,0,1,1,Semi-Furnished,5500000
Apartment,3,Bopal,8.7,1919,8,1,1,1,0,1,1,1,1,0,0,0,Unfurnished,8500000
Apartment,3,Bopal,8.7,1465,3,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,7500000
Apartment,2,Bopal,8.7,1985,0,1,1,0,1,1,1,1,1,0,1,1,Unfurnished,8700000
Apartment,3,Bopal,8.7,1440,2,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,6500000
Apartment,3,Bopal,8.7,1385,1,0,1,1,1,1,0,1,1,0,0,1,Unfurnished,6000000
Apartment,3,Bopal,8.7,2520,5,0,1,0,0,1,1,0,1,0,1,0,Unfurnished,16000000
Apartment,3,Bopal,8.7,2450,1,1,1,0,1,1,0,1,1,0,0,1,Unfurnished,15500000
Apartment,3,Bopal,8.7,1395,1,1,1,0,1,1,1,1,0,0,1,0,Unfurnished,5600000
Apartment,3,Bopal,8.7,1985,5,1,1,1,0,1,1,1,1,0,0,1,Unfurnished,10000000
Apartment,3,Bopal,8.7,2025,6,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,8500000
Apartment,3,Bopal,8.7,2850,5,1,1,0,1,1,1,1,0,0,1,1,Unfurnished,11500000
Apartment,2,Bopal,8.7,1180,1,0,1,1,1,1,1,1,1,0,0,1,Unfurnished,5500000
Apartment,2,Bopal,8.7,1985,0,1,1,0,1,1,1,1,1,0,1,1,Unfurnished,6352000
Apartment,2,Bopal,8.7,1725,0,1,1,0,1,1,1,1,1,0,1,1,Unfurnished,7500000
Apartment,3,Bopal,8.7,2115,6,1,1,1,0,1,1,1,1,0,0,0,Unfurnished,9500000
Apartment,2,Bopal,8.7,1170,3,1,1,1,0,1,1,1,1,0,1,0,Unfurnished,3500000
Apartment,2,Bopal,8.7,1170,5,1,1,1,0,1,1,1,1,0,1,0,Unfurnished,3500000
Apartment,3,Bopal,8.7,1545,5,1,1,1,1,1,1,1,1,0,1,0,Unfurnished,6500000
Independent House,2,Bopal,8.7,3000,-1,0,0,0,0,0,1,1,0,0,0,0,Unfurnished,26000000
Independent House,1,Bopal,8.7,1890,-1,0,0,0,0,0,0,1,0,0,0,0,Unfurnished,6230000
Apartment,3,Bopal,8.7,1480,0,0,1,0,0,1,1,1,0,0,0,0,Unfurnished,5400000
Apartment,2,Bopal,8.7,1285,-1,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,3598000
Apartment,2,Bopal,8.7,1039,5,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,3500000
Apartment,2,Bopal,8.7,1258,5,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,4500000
Apartment,3,Bopal,8.7,1435,5,1,1,0,1,1,1,1,1,0,0,0,Unfurnished,6000000
Apartment,3,Bopal,8.7,1450,5,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,5400000
Apartment,2,Bopal,8.7,1170,5,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,3600000
Apartment,2,Bopal,8.7,1125,8,0,1,0,0,0,0,1,0,0,0,0,Furnished,4200000
Apartment,3,Bopal,8.7,2285,3,1,1,1,0,1,1,1,1,0,1,1,Furnished,12500000
Apartment,3,Bopal,8.7,1755,9,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,7000000
Apartment,2,Bopal,8.7,1285,5,0,1,0,0,0,1,0,0,0,0,0,Semi-Furnished,4500000
Apartment,3,Bopal,8.7,1470,5,1,1,1,0,1,1,1,1,0,0,0,Unfurnished,6500000
Apartment,2,Bopal,8.7,1050,0,0,1,0,0,0,1,1,0,0,0,0,Unfurnished,3600000
Apartment,3,Bopal,8.7,1880,5,0,1,0,0,0,1,0,0,0,0,0,Unfurnished,7000000
Apartment,3,Bopal,8.7,1880,2,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,6500000
Independent House,5,Bopal,8.7,5000,9,0,0,0,0,0,1,1,0,0,0,0,Unfurnished,27500000
Apartment,2,Bopal,8.7,1435,-1,1,1,0,1,1,1,1,1,0,1,0,Unfurnished,5500000
Independent House,3,Bopal,8.7,1810,-1,0,0,0,0,0,0,1,0,0,0,0,Semi-Furnished,12000000
Apartment,2,Bopal,8.7,1435,-1,1,1,0,0,1,1,1,0,0,1,0,Furnished,6500000
Apartment,1,Bopal,8.7,1466,-1,1,1,1,1,1,1,1,1,0,1,1,Furnished,6500000
Apartment,3,Bopal,8.7,2285,1,1,1,1,0,1,1,1,1,0,1,1,Unfurnished,10000000
Independent House,3,Bopal,8.7,2070,15,0,0,0,0,0,0,1,0,0,0,0,Unfurnished,12500000
Apartment,2,Bopal,8.7,1230,1,0,1,0,0,0,0,1,0,0,1,0,Unfurnished,3800000
Independent House,4,Bopal,8.7,2340,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,14000000
Independent House,3,Bopal,8.7,1980,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,13000000
Villa,3,Bopal,8.7,2250,-1,0,0,0,0,0,0,0,0,0,0,0,Furnished,14000000
Apartment,2,Bopal,8.7,1170,1,0,1,1,1,0,1,1,1,0,1,0,Furnished,4900000
Apartment,3,Bopal,8.7,2025,-1,0,0,0,0,0,0,0,0,0,0,0,Semi-Furnished,8700000
Apartment,4,Bopal,8.7,2950,-1,1,1,1,0,1,1,0,1,0,0,1,Unfurnished,14500000
Apartment,4,Bopal,8.7,2340,1,0,0,0,0,0,0,0,0,0,0,0,Furnished,9000000
Apartment,3,Bopal,8.7,2285,-1,1,1,1,0,1,1,0,1,0,0,1,Furnished,15000000
Villa,3,Bopal,8.7,1845,-1,0,0,0,0,0,0,0,0,0,0,0,Semi-Furnished,11500000
Apartment,3,Bopal,8.7,2285,-1,1,1,1,0,1,1,0,1,0,0,1,Furnished,13100000
Apartment,2,Bopal,8.7,1113,6,1,1,1,0,1,1,1,1,0,0,0,Unfurnished,5000000
Apartment,2,Bopal,8.7,1080,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,3500000
Apartment,4,Bopal,8.7,4315,-1,1,1,1,0,1,1,0,1,0,0,1,Unfurnished,19500000
Villa,3,Bopal,8.7,1890,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,12500000
Apartment,3,Bopal,8.7,1416,2,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,6300000
Villa,3,Bopal,8.7,1890,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,11000000
Apartment,2,Bopal,8.7,1260,11,0,1,1,0,0,0,0,1,0,0,0,Unfurnished,5000000
Villa,3,Bopal,8.7,1845,-1,0,0,0,0,0,0,0,0,0,0,0,Semi-Furnished,9000000
Villa,3,Bopal,8.7,1845,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,11500000
Apartment,2,Bopal,8.7,1170,-1,1,1,1,0,1,1,1,1,0,1,0,Furnished,3800000
Apartment,2,Bopal,8.7,945,-1,0,0,0,0,0,0,0,0,0,0,0,Semi-Furnished,3800000
Villa,3,Bopal,8.7,1935,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,10000000
Apartment,3,Bopal,8.7,1440,1,1,1,1,1,1,1,0,1,0,0,0,Unfurnished,5825000
Villa,4,Bopal,8.7,1980,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,12500000
Apartment,4,Bopal,8.7,2900,1,1,1,1,1,1,1,0,1,0,0,0,Unfurnished,13090000
Apartment,4,Bopal,8.7,2800,8,1,1,1,0,1,1,0,1,0,0,0,Unfurnished,12500000
Independent House,3,Bopal,8.7,1935,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,11500000
Apartment,3,Bopal,8.7,1800,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,7000000
Apartment,2,Bopal,8.7,1170,-1,1,1,1,0,1,1,1,1,0,1,0,Unfurnished,3500000
Independent House,3,Bopal,8.7,2754,-1,1,0,1,0,1,1,0,0,0,0,0,Unfurnished,15000000
Apartment,2,Bopal,8.7,1140,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4500000
Apartment,3,Bopal,8.7,1746,9,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,7000000
Independent House,4,Bopal,8.7,2790,8,0,0,0,0,0,0,1,0,0,0,0,Unfurnished,17000000
Independent House,3,Bopal,8.7,1200,11,0,1,1,0,0,0,0,1,0,0,0,Unfurnished,6500000
Apartment,2,Bopal,8.7,1118,1,1,0,0,1,1,1,1,0,0,1,0,Unfurnished,4800000
Independent House,4,Bopal,8.7,2250,11,0,0,0,0,0,1,1,0,0,0,0,Unfurnished,13000000
Apartment,3,Bopal,8.7,1705,5,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,6500000
Apartment,2,Bopal,8.7,1170,-1,1,1,1,0,1,1,0,1,0,0,0,Unfurnished,5000000
Apartment,3,Bopal,8.7,1440,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,5500000
Apartment,2,Bopal,8.7,1230,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4000000
Apartment,3,Bopal,8.7,2025,6,1,1,1,1,1,1,1,1,0,0,1,Unfurnished,8000000
Apartment,3,Bopal,8.7,1330,2,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,5600000
Apartment,3,Bopal,8.7,1800,8,1,1,1,0,1,1,0,1,0,0,0,Unfurnished,8500000
Apartment,3,Bopal,8.7,2350,7,0,1,1,1,1,1,1,1,0,0,0,Unfurnished,10000000
Independent House,4,Bopal,8.7,2475,5,0,0,1,1,1,1,1,0,0,0,0,Unfurnished,14000000
Apartment,3,Bopal,8.7,2214,5,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,9000000
Apartment,3,Bopal,8.7,1220,-1,1,1,0,1,1,1,1,1,0,0,0,Unfurnished,5740000
Apartment,4,Bopal,8.7,2800,8,1,1,1,0,1,1,0,1,0,0,0,Furnished,17000000
Apartment,2,Bopal,8.7,999,1,0,1,1,1,0,1,1,1,0,1,0,Unfurnished,3297000
Apartment,3,Bopal,8.7,1440,1,0,1,1,1,0,1,1,1,0,1,0,Unfurnished,5752000
Apartment,4,Bopal,8.7,2000,2,1,1,1,1,1,1,1,1,0,0,0,Unfurnished,11500000
Apartment,2,Bopal,8.7,1150,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,5150000
Apartment,4,Bopal,8.7,4315,-1,1,1,1,0,1,1,0,1,0,0,1,Unfurnished,21500000
Apartment,2,Bopal,8.7,1215,1,0,1,1,1,0,1,1,1,0,1,0,Unfurnished,4010000
Apartment,2,Bopal,8.7,738,0,0,1,1,0,0,1,1,1,1,1,0,Unfurnished,3360000
Apartment,3,Bopal,8.7,1430,2,0,1,0,0,1,1,1,0,0,1,0,Unfurnished,6700000
Apartment,2,Bopal,8.7,1450,5,1,1,1,1,1,1,1,1,0,1,1,Unfurnished,6400000
Apartment,3,Bopal,8.7,1430,2,0,1,0,0,1,1,1,0,0,0,0,Unfurnished,7500000
Apartment,2,Bopal,8.7,1200,1,1,1,1,1,1,1,1,1,0,1,0,Unfurnished,4800000
Apartment,2,Bopal,8.7,2115,6,1,1,1,0,1,1,1,1,0,0,0,Unfurnished,9500000
Apartment,2,Bopal,8.7,1162,7,1,1,1,0,1,1,1,1,1,0,0,Unfurnished,3800000
Apartment,2,Bopal,8.7,1200,1,1,1,0,1,1,1,1,0,0,0,1,Unfurnished,5000000
Apartment,3,Bopal,8.7,1430,0,0,1,1,1,1,1,1,1,1,1,0,Unfurnished,4290000
Apartment,2,Bopal,8.7,1200,-1,1,1,1,1,1,1,1,1,1,1,0,Unfurnished,4800000
Apartment,2,Bopal,8.7,820,-1,0,1,1,0,1,1,1,1,1,1,0,Unfurnished,3346000
Apartment,2,Bopal,8.7,1215,10,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,5500000
Apartment,2,Bopal,8.7,1107,3,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4400000
Apartment,3,Bopal,8.7,1440,0,0,1,1,0,0,1,1,1,0,1,0,Unfurnished,4320000
Apartment,2,Bopal,8.7,1185,0,0,1,1,0,1,1,1,1,1,1,0,Unfurnished,3555000
Apartment,2,Bopal,8.7,838,0,0,1,1,1,1,1,1,0,1,1,1,Unfurnished,3300000
Apartment,3,Bopal,8.7,1330,2,1,1,1,1,1,1,1,1,0,0,0,Furnished,6600000
